TIME_PERIOD,AUD,CAD,CHF,DKK,GBP,ISK,JPY,NZD,SEK,USD,XDR
1991-01-22,1.5172129683915831,1.6156386480757041,6.141628719936214,4.621535540074356,2.432033160180932,2.3664984187376983,1.4888509494449829,1.2480949473608276,4.649474111544616,1.761815592854983,2.124129254673049
1991-01-23,1.5262302014174072,1.62424770408758,6.141090721063795,4.621338767149675,2.4335256322546415,2.3693087250369538,1.4877221537500038,1.2515050347712522,4.6524353784552055,1.7701952913122145,2.1277577840422572
1991-01-24,1.5099048287088899,1.6156982754049143,6.1396690117576975,4.620945105103454,2.4321210143430796,2.365559892155434,1.4841014211228025,1.24014078570838,4.6491870714048655,1.7602688021366841,2.122269922061158
1991-01-25,1.5089764877200662,1.6120943808953097,6.139733678776463,4.621633912018757,2.4344901638739844,2.365559892155434,1.4841014211228025,1.246141092186481,4.650812543866793,1.7613002617433464,2.123217967566525
1991-01-28,1.5154788195007165,1.6112362943754799,6.134872010402711,4.620945105103454,2.4356288667518102,2.365559892155434,1.4811498921325694,1.2497011430309657,4.650621448892009,1.7607846649286245,2.121760814718956
1991-01-29,1.5148634619145982,1.6114359150967734,6.135196857997905,4.621535540074356,2.436066484368527,2.3683728335320486,1.4868181988861897,1.2485828152444047,4.649761069315966,1.7582026856992121,2.1219429252365813
1991-01-30,1.521960972541424,1.6158970074948387,6.134373705711586,4.622125626637505,2.438251704415579,2.367436065313662,1.4883995840570443,1.2614678281730456,4.6523399904644815,1.7640456306605392,2.1242965924842547
1991-01-31,1.5170594309994432,1.612214055380852,6.132356285805463,4.621437158451963,2.4356288667518102,2.3664984187376983,1.4911047254722358,1.244154593958768,4.65224459337402,1.7616438453234315,2.122641107536023
1991-02-01,1.5095954774601792,1.605550365706908,6.130595855892963,4.621240366165586,2.432033160180932,2.365559892155434,1.480695036541375,1.2415864576192166,4.650621448892009,1.7561322915849038,2.1193579262591666
1991-02-04,1.501429449612092,1.6012242726595973,6.1269783484612175,4.621830626881199,2.4288652589043753,2.3608540011180215,1.473847258127752,1.2349771631886262,4.648899948849417,1.7479817218821596,2.116263948501928
1991-02-05,1.4925220007170645,1.598114038702657,6.127480351025425,4.621437158451963,2.4310662546425856,2.3608540011180215,1.4816045409242156,1.2360526977893478,4.648995665528121,1.7454537163515436,2.1154576061966837
1991-02-06,1.490091154801534,1.5938165315311437,6.129725363356873,4.621830626881199,2.4312421252023073,2.3589654264301534,1.4872702784598928,1.2323561587177054,4.6471754801331215,1.7404661748405046,2.1144961366788273
