Date,Close
26.05.1999 kl. 18.00.00,"302,41"
27.05.1999 kl. 18.00.00,"299,38"
28.05.1999 kl. 18.00.00,"300,08"
31.05.1999 kl. 18.00.00,"301,22"
01.06.1999 kl. 18.00.00,"301,5"
02.06.1999 kl. 18.00.00,"303,44"
03.06.1999 kl. 18.00.00,"305,88"
04.06.1999 kl. 18.00.00,"307,95"
07.06.1999 kl. 18.00.00,"310,92"
08.06.1999 kl. 18.00.00,"310,29"
09.06.1999 kl. 18.00.00,"310,97"
10.06.1999 kl. 18.00.00,"307,73"
11.06.1999 kl. 18.00.00,"310,58"
14.06.1999 kl. 18.00.00,"309,9"
15.06.1999 kl. 18.00.00,"310,13"
16.06.1999 kl. 18.00.00,"313,29"
17.06.1999 kl. 18.00.00,"314,41"
18.06.1999 kl. 18.00.00,"315,51"
21.06.1999 kl. 18.00.00,"318,93"
22.06.1999 kl. 18.00.00,"317,26"
23.06.1999 kl. 18.00.00,"314,02"
24.06.1999 kl. 18.00.00,"311,17"
25.06.1999 kl. 18.00.00,"309,07"
28.06.1999 kl. 18.00.00,"309,98"
29.06.1999 kl. 18.00.00,"309,93"
30.06.1999 kl. 18.00.00,"309,74"
01.07.1999 kl. 18.00.00,"319,64"
02.07.1999 kl. 18.00.00,"321,12"
05.07.1999 kl. 18.00.00,"326,09"
06.07.1999 kl. 18.00.00,"325,24"
07.07.1999 kl. 18.00.00,"323,42"
08.07.1999 kl. 18.00.00,"319,43"
09.07.1999 kl. 18.00.00,"320,22"
12.07.1999 kl. 18.00.00,"321,42"
13.07.1999 kl. 18.00.00,"316,36"
14.07.1999 kl. 18.00.00,"317,79"
15.07.1999 kl. 18.00.00,"321,19"
16.07.1999 kl. 18.00.00,"320,39"
19.07.1999 kl. 18.00.00,"319,79"
20.07.1999 kl. 18.00.00,"312,53"
21.07.1999 kl. 18.00.00,"308,45"
22.07.1999 kl. 18.00.00,"306,75"
23.07.1999 kl. 18.00.00,"303,32"
26.07.1999 kl. 18.00.00,"299,27"
27.07.1999 kl. 18.00.00,"301,7"
28.07.1999 kl. 18.00.00,"302,56"
29.07.1999 kl. 18.00.00,"296,13"
30.07.1999 kl. 18.00.00,"301,28"
02.08.1999 kl. 18.00.00,"301,69"
03.08.1999 kl. 18.00.00,"300,7"
04.08.1999 kl. 18.00.00,"299,33"
05.08.1999 kl. 18.00.00,"292,62"
06.08.1999 kl. 18.00.00,"293,68"
09.08.1999 kl. 18.00.00,"296,34"
10.08.1999 kl. 18.00.00,"291,98"
11.08.1999 kl. 18.00.00,"293,91"
12.08.1999 kl. 18.00.00,"299,69"
13.08.1999 kl. 18.00.00,"304,6"
16.08.1999 kl. 18.00.00,"305,78"
17.08.1999 kl. 18.00.00,"306,28"
18.08.1999 kl. 18.00.00,"306,19"
19.08.1999 kl. 18.00.00,"302,94"
20.08.1999 kl. 18.00.00,"305,55"
23.08.1999 kl. 18.00.00,"309,95"
24.08.1999 kl. 18.00.00,"310,53"
25.08.1999 kl. 18.00.00,"314,34"
26.08.1999 kl. 18.00.00,"314,54"
27.08.1999 kl. 18.00.00,"315,02"
30.08.1999 kl. 18.00.00,"314,58"
31.08.1999 kl. 18.00.00,"308,69"
01.09.1999 kl. 18.00.00,"310,27"
02.09.1999 kl. 18.00.00,"305,18"
03.09.1999 kl. 18.00.00,"312,32"
06.09.1999 kl. 18.00.00,"315,27"
07.09.1999 kl. 18.00.00,"313,98"
08.09.1999 kl. 18.00.00,"313,62"
09.09.1999 kl. 18.00.00,"316,41"
10.09.1999 kl. 18.00.00,"316,82"
13.09.1999 kl. 18.00.00,"314,68"
14.09.1999 kl. 18.00.00,"312,4"
15.09.1999 kl. 18.00.00,"311,33"
16.09.1999 kl. 18.00.00,"309,35"
17.09.1999 kl. 18.00.00,"310,25"
20.09.1999 kl. 18.00.00,"311,77"
21.09.1999 kl. 18.00.00,"307,59"
22.09.1999 kl. 18.00.00,"305,72"
23.09.1999 kl. 18.00.00,"308,52"
24.09.1999 kl. 18.00.00,"305,03"
27.09.1999 kl. 18.00.00,"309,38"
28.09.1999 kl. 18.00.00,"305,38"
29.09.1999 kl. 18.00.00,"303,14"
30.09.1999 kl. 18.00.00,"303,91"
01.10.1999 kl. 18.00.00,"301,49"
04.10.1999 kl. 18.00.00,"305,82"
05.10.1999 kl. 18.00.00,"307,83"
06.10.1999 kl. 18.00.00,"308,93"
07.10.1999 kl. 18.00.00,"311,57"
08.10.1999 kl. 18.00.00,"312,37"
11.10.1999 kl. 18.00.00,"313,15"
12.10.1999 kl. 18.00.00,"309,62"
13.10.1999 kl. 18.00.00,"306,47"
14.10.1999 kl. 18.00.00,"303,78"
15.10.1999 kl. 18.00.00,"298,48"
18.10.1999 kl. 18.00.00,"295,91"
19.10.1999 kl. 18.00.00,"302,01"
20.10.1999 kl. 18.00.00,"302,6"
21.10.1999 kl. 18.00.00,"301,03"
22.10.1999 kl. 18.00.00,"305,22"
25.10.1999 kl. 18.00.00,"305,21"
26.10.1999 kl. 18.00.00,"308,57"
27.10.1999 kl. 18.00.00,"307,82"
28.10.1999 kl. 18.00.00,"312,05"
29.10.1999 kl. 18.00.00,"317,27"
01.11.1999 kl. 18.00.00,"317,94"
02.11.1999 kl. 18.00.00,"318,18"
03.11.1999 kl. 18.00.00,"319,94"
04.11.1999 kl. 18.00.00,"321,95"
05.11.1999 kl. 18.00.00,"323,34"
08.11.1999 kl. 18.00.00,"324,19"
09.11.1999 kl. 18.00.00,"325,9"
10.11.1999 kl. 18.00.00,"327,47"
11.11.1999 kl. 18.00.00,"331,75"
12.11.1999 kl. 18.00.00,"331,34"
15.11.1999 kl. 18.00.00,"334,63"
16.11.1999 kl. 18.00.00,"336,02"
17.11.1999 kl. 18.00.00,"335,73"
18.11.1999 kl. 18.00.00,"338,79"
19.11.1999 kl. 18.00.00,"337,58"
22.11.1999 kl. 18.00.00,"334,04"
23.11.1999 kl. 18.00.00,"336,26"
24.11.1999 kl. 18.00.00,"336,89"
25.11.1999 kl. 18.00.00,"343,86"
26.11.1999 kl. 18.00.00,"345,1"
29.11.1999 kl. 18.00.00,"345,71"
30.11.1999 kl. 18.00.00,"342,13"
01.12.1999 kl. 18.00.00,"345,09"
02.12.1999 kl. 18.00.00,"346,24"
03.12.1999 kl. 18.00.00,"353,24"
06.12.1999 kl. 18.00.00,"351,15"
07.12.1999 kl. 18.00.00,"352,5"
08.12.1999 kl. 18.00.00,"351,79"
09.12.1999 kl. 18.00.00,"353,95"
10.12.1999 kl. 18.00.00,"353,54"
13.12.1999 kl. 18.00.00,"355,11"
14.12.1999 kl. 18.00.00,"356,24"
15.12.1999 kl. 18.00.00,"352,99"
16.12.1999 kl. 18.00.00,"354,61"
17.12.1999 kl. 18.00.00,"357,5"
20.12.1999 kl. 18.00.00,"359,92"
21.12.1999 kl. 18.00.00,"358,66"
22.12.1999 kl. 18.00.00,"362,31"
23.12.1999 kl. 18.00.00,"367,59"
24.12.1999 kl. 18.00.00,"369,61"
27.12.1999 kl. 18.00.00,"370,89"
28.12.1999 kl. 18.00.00,"372,34"
29.12.1999 kl. 18.00.00,"374,37"
30.12.1999 kl. 18.00.00,"379,49"
03.01.2000 kl. 18.00.00,"377,69"
04.01.2000 kl. 18.00.00,"362,7"
05.01.2000 kl. 18.00.00,"353,74"
06.01.2000 kl. 18.00.00,"352,21"
07.01.2000 kl. 18.00.00,"359,75"
10.01.2000 kl. 18.00.00,"365,39"
11.01.2000 kl. 18.00.00,"362,93"
12.01.2000 kl. 18.00.00,"362,92"
13.01.2000 kl. 18.00.00,"364,83"
14.01.2000 kl. 18.00.00,"373,63"
17.01.2000 kl. 18.00.00,"376,21"
18.01.2000 kl. 18.00.00,"368,3"
19.01.2000 kl. 18.00.00,"366,58"
20.01.2000 kl. 18.00.00,"365,64"
21.01.2000 kl. 18.00.00,"364,63"
24.01.2000 kl. 18.00.00,"366,45"
25.01.2000 kl. 18.00.00,"360,18"
26.01.2000 kl. 18.00.00,"364,28"
27.01.2000 kl. 18.00.00,"369,06"
